,UniqueID,airline,origin,destination,departure_time,Arrival_time,price,flights,DepartureDate,SearchDate
0,1_2025-11-15_2025-10-03,UA,IAH,LAX,2025-11-15 16:30:00,2025-11-15 18:10:00,107.64,['1743'],2025-11-15,2025-10-03
1,1_2025-11-15_2025-10-04,UA,IAH,LAX,2025-11-15 16:30:00,2025-11-15 18:10:00,77.56,['1743'],2025-11-15,2025-10-04
2,1_2025-11-15_2025-10-05,UA,IAH,LAX,2025-11-15 16:30:00,2025-11-15 18:10:00,77.56,['1743'],2025-11-15,2025-10-05
3,1_2025-11-16_2025-10-03,UA,IAH,LAX,2025-11-16 22:00:00,2025-11-16 23:24:00,107.64,['1851'],2025-11-16,2025-10-03
4,1_2025-11-16_2025-10-04,UA,IAH,LAX,2025-11-16 22:00:00,2025-11-16 23:24:00,77.56,['1851'],2025-11-16,2025-10-04
5,1_2025-11-16_2025-10-05,UA,IAH,LAX,2025-11-16 22:00:00,2025-11-16 23:24:00,77.56,['1851'],2025-11-16,2025-10-05
6,1_2025-11-17_2025-10-03,UA,IAH,LAX,2025-11-17 12:00:00,2025-11-17 13:45:00,116.24,['2460'],2025-11-17,2025-10-03
7,1_2025-11-17_2025-10-04,UA,IAH,LAX,2025-11-17 12:00:00,2025-11-17 13:45:00,116.26,['2460'],2025-11-17,2025-10-04
8,1_2025-11-17_2025-10-05,UA,IAH,LAX,2025-11-17 12:00:00,2025-11-17 13:45:00,116.26,['2460'],2025-11-17,2025-10-05
9,1_2025-11-18_2025-10-03,UA,IAH,LAX,2025-11-18 16:30:00,2025-11-18 18:10:00,107.64,['1743'],2025-11-18,2025-10-03
10,1_2025-11-18_2025-10-04,UA,IAH,LAX,2025-11-18 16:30:00,2025-11-18 18:10:00,77.56,['1743'],2025-11-18,2025-10-04
11,1_2025-11-18_2025-10-05,UA,IAH,LAX,2025-11-18 16:30:00,2025-11-18 18:10:00,77.56,['1743'],2025-11-18,2025-10-05
12,1_2025-11-19_2025-10-03,UA,IAH,LAX,2025-11-19 16:30:00,2025-11-19 18:10:00,107.64,['1743'],2025-11-19,2025-10-03
13,1_2025-11-19_2025-10-04,UA,IAH,LAX,2025-11-19 16:30:00,2025-11-19 18:10:00,77.56,['1743'],2025-11-19,2025-10-04
14,1_2025-11-19_2025-10-05,UA,IAH,LAX,2025-11-19 16:30:00,2025-11-19 18:10:00,77.56,['1743'],2025-11-19,2025-10-05
15,1_2025-11-20_2025-10-03,AS,IAH,ONT,2025-11-20 07:35:00,2025-11-20 15:12:00,147.09,"['453', '1118']",2025-11-20,2025-10-03
16,1_2025-11-20_2025-10-04,AS,IAH,ONT,2025-11-20 07:35:00,2025-11-20 15:12:00,147.12,"['453', '1118']",2025-11-20,2025-10-04
