Airline,Flight,From,Departure,To,Arrival,Duration,Price,DepartureDate,SearchDate
F9,3229,IAH,2025-10-15T06:00:00,DEN,2025-10-15T07:36:00,PT8H19M,66.36,2025-10-15,2025-09-29
F9,2341,DEN,2025-10-15T10:45:00,LAX,2025-10-15T12:19:00,PT8H19M,66.36,2025-10-15,2025-09-29
F9,2995,IAH,2025-10-15T11:36:00,DEN,2025-10-15T13:12:00,PT14H49M,71.11,2025-10-15,2025-09-29
F9,4345,DEN,2025-10-15T22:55:00,LAX,2025-10-16T00:25:00,PT14H49M,71.11,2025-10-15,2025-09-29
F9,3229,IAH,2025-10-15T06:00:00,DEN,2025-10-15T07:36:00,PT20H25M,71.11,2025-10-15,2025-09-29
F9,4345,DEN,2025-10-15T22:55:00,LAX,2025-10-16T00:25:00,PT20H25M,71.11,2025-10-15,2025-09-29
F9,1755,IAH,2025-10-15T11:42:00,LAX,2025-10-15T13:20:00,PT3H38M,88.23,2025-10-15,2025-09-29
AS,1421,IAH,2025-10-15T17:54:00,PDX,2025-10-15T20:49:00,PT8H5M,113.66,2025-10-15,2025-09-29
AS,1291,PDX,2025-10-15T21:30:00,LAX,2025-10-15T23:59:00,PT8H5M,113.66,2025-10-15,2025-09-29
AS,1421,IAH,2025-10-17T17:54:00,PDX,2025-10-17T20:49:00,PT8H5M,127.64,2025-10-17,2025-09-29
AS,1291,PDX,2025-10-17T21:30:00,LAX,2025-10-17T23:59:00,PT8H5M,127.64,2025-10-17,2025-09-29
F9,2995,IAH,2025-10-17T11:36:00,DEN,2025-10-17T13:12:00,PT10H46M,139.91,2025-10-17,2025-09-29
F9,3155,DEN,2025-10-17T18:50:00,LAX,2025-10-17T20:22:00,PT10H46M,139.91,2025-10-17,2025-09-29
F9,2995,IAH,2025-10-17T11:36:00,DEN,2025-10-17T13:12:00,PT14H49M,139.91,2025-10-17,2025-09-29
F9,4345,DEN,2025-10-17T22:55:00,LAX,2025-10-18T00:25:00,PT14H49M,139.91,2025-10-17,2025-09-29
F9,1882,IAH,2025-10-17T22:12:00,ORD,2025-10-18T00:44:00,PT13H39M,139.91,2025-10-17,2025-09-29
F9,2445,ORD,2025-10-18T07:25:00,LAX,2025-10-18T09:51:00,PT13H39M,139.91,2025-10-17,2025-09-29
F9,4978,IAH,2025-10-17T20:37:00,MCO,2025-10-18T00:05:00,PT13H51M,139.91,2025-10-17,2025-09-29
F9,4145,MCO,2025-10-18T06:00:00,LAX,2025-10-18T08:28:00,PT13H51M,139.91,2025-10-17,2025-09-29
F9,4978,IAH,2025-10-19T20:37:00,MCO,2025-10-20T00:05:00,PT13H51M,139.91,2025-10-19,2025-09-29
F9,4145,MCO,2025-10-20T06:00:00,LAX,2025-10-20T08:28:00,PT13H51M,139.91,2025-10-19,2025-09-29
F9,1882,IAH,2025-10-19T21:54:00,ORD,2025-10-20T00:26:00,PT13H57M,139.91,2025-10-19,2025-09-29
F9,2445,ORD,2025-10-20T07:25:00,LAX,2025-10-20T09:51:00,PT13H57M,139.91,2025-10-19,2025-09-29
F9,2995,IAH,2025-10-19T11:24:00,DEN,2025-10-19T13:00:00,PT15H1M,139.91,2025-10-19,2025-09-29
F9,4345,DEN,2025-10-19T22:55:00,LAX,2025-10-20T00:25:00,PT15H1M,139.91,2025-10-19,2025-09-29
F9,1489,IAH,2025-10-19T19:01:00,LAS,2025-10-19T20:25:00,PT19H13M,139.91,2025-10-19,2025-09-29
F9,3291,LAS,2025-10-20T10:50:00,LAX,2025-10-20T12:14:00,PT19H13M,139.91,2025-10-19,2025-09-29
