OfferID,Airline,Flight,From,Departure,To,Arrival,Duration,Price,DepartureDate,SearchDate
1,UA,1743,IAH,2025-11-15T16:30:00,LAX,2025-11-15T18:10:00,PT3H40M,87.35,2025-11-15,2025-10-17
2,UA,2460,IAH,2025-11-15T12:00:00,LAX,2025-11-15T13:45:00,PT3H45M,87.35,2025-11-15,2025-10-17
3,UA,1945,IAH,2025-11-15T14:30:00,LAX,2025-11-15T16:15:00,PT3H45M,87.35,2025-11-15,2025-10-17
4,UA,434,IAH,2025-11-15T21:35:00,LAX,2025-11-15T23:21:00,PT3H46M,87.35,2025-11-15,2025-10-17
5,UA,2431,IAH,2025-11-15T05:42:00,LAX,2025-11-15T07:30:00,PT3H48M,87.35,2025-11-15,2025-10-17
1,UA,2431,IAH,2025-11-16T05:42:00,LAX,2025-11-16T07:30:00,PT3H48M,78.75,2025-11-16,2025-10-17
2,AS,1421,IAH,2025-11-16T17:54:00,PDX,2025-11-16T20:49:00,PT8H5M,93.55,2025-11-16,2025-10-17
2,AS,1291,PDX,2025-11-16T21:30:00,LAX,2025-11-16T23:59:00,PT8H5M,93.55,2025-11-16,2025-10-17
3,AS,453,IAH,2025-11-16T07:35:00,SEA,2025-11-16T10:15:00,PT9H5M,93.55,2025-11-16,2025-10-17
3,AS,1144,SEA,2025-11-16T11:55:00,LAX,2025-11-16T14:40:00,PT9H5M,93.55,2025-11-16,2025-10-17
4,AS,453,IAH,2025-11-16T07:35:00,SEA,2025-11-16T10:15:00,PT9H57M,93.55,2025-11-16,2025-10-17
4,AS,1220,SEA,2025-11-16T12:50:00,LAX,2025-11-16T15:32:00,PT9H57M,93.55,2025-11-16,2025-10-17
5,UA,1851,IAH,2025-11-16T22:00:00,LAX,2025-11-16T23:24:00,PT3H24M,117.45,2025-11-16,2025-10-17
1,UA,1743,IAH,2025-11-17T16:30:00,LAX,2025-11-17T18:10:00,PT3H40M,117.45,2025-11-17,2025-10-17
2,UA,1945,IAH,2025-11-17T14:30:00,LAX,2025-11-17T16:15:00,PT3H45M,160.45,2025-11-17,2025-10-17
3,UA,2095,IAH,2025-11-17T19:50:00,LAX,2025-11-17T21:36:00,PT3H46M,160.45,2025-11-17,2025-10-17
4,UA,1563,IAH,2025-11-17T20:00:00,ONT,2025-11-17T21:21:00,PT3H21M,194.85,2025-11-17,2025-10-17
5,UA,2460,IAH,2025-11-17T12:00:00,LAX,2025-11-17T13:45:00,PT3H45M,197.00,2025-11-17,2025-10-17
1,UA,1743,IAH,2025-11-18T16:30:00,LAX,2025-11-18T18:10:00,PT3H40M,78.75,2025-11-18,2025-10-17
2,UA,469,IAH,2025-11-18T09:40:00,LAX,2025-11-18T11:25:00,PT3H45M,78.75,2025-11-18,2025-10-17
3,UA,1945,IAH,2025-11-18T14:30:00,LAX,2025-11-18T16:15:00,PT3H45M,78.75,2025-11-18,2025-10-17
4,UA,2431,IAH,2025-11-18T05:42:00,LAX,2025-11-18T07:30:00,PT3H48M,78.75,2025-11-18,2025-10-17
5,UA,2460,IAH,2025-11-18T12:00:00,LAX,2025-11-18T13:45:00,PT3H45M,78.75,2025-11-18,2025-10-17
1,UA,1743,IAH,2025-11-19T16:30:00,LAX,2025-11-19T18:10:00,PT3H40M,78.75,2025-11-19,2025-10-17
2,UA,469,IAH,2025-11-19T09:40:00,LAX,2025-11-19T11:25:00,PT3H45M,78.75,2025-11-19,2025-10-17
3,UA,1945,IAH,2025-11-19T14:30:00,LAX,2025-11-19T16:15:00,PT3H45M,78.75,2025-11-19,2025-10-17
4,UA,434,IAH,2025-11-19T21:35:00,LAX,2025-11-19T23:21:00,PT3H46M,78.75,2025-11-19,2025-10-17
5,UA,2431,IAH,2025-11-19T05:42:00,LAX,2025-11-19T07:30:00,PT3H48M,78.75,2025-11-19,2025-10-17
1,AS,453,IAH,2025-11-20T07:35:00,SEA,2025-11-20T10:15:00,PT9H37M,184.92,2025-11-20,2025-10-17
1,AS,1118,SEA,2025-11-20T12:40:00,ONT,2025-11-20T15:12:00,PT9H37M,184.92,2025-11-20,2025-10-17
2,UA,1563,IAH,2025-11-20T20:00:00,ONT,2025-11-20T21:21:00,PT3H21M,210.97,2025-11-20,2025-10-17
3,AS,1421,IAH,2025-11-20T17:54:00,PDX,2025-11-20T20:49:00,PT16H31M,212.32,2025-11-20,2025-10-17
3,AS,1165,PDX,2025-11-21T06:00:00,LAX,2025-11-21T08:25:00,PT16H31M,212.32,2025-11-20,2025-10-17
4,UA,1851,IAH,2025-11-20T22:00:00,LAX,2025-11-20T23:24:00,PT3H24M,215.27,2025-11-20,2025-10-17
5,UA,1743,IAH,2025-11-20T16:30:00,LAX,2025-11-20T18:10:00,PT3H40M,215.27,2025-11-20,2025-10-17
